DQAID,WID,TSN,T7_1,T7_2,T7_3,T7_4,T7_5,T7_6,T7_7,T7_8,T7_9,T7_10,T7_11,LAST SYNC DATE
3316298945,10042699,1,5,1,1,5,2,1,3,18,1,1,1,30/01/2018,
3117292946,10044623,2,2,1,1,,1,6,3,8,2,2,2,08/04/2019,
3117015657,10070580,1,3,1,1,9,2,6,1,2,2,2,2,04/01/2019,
3117215617,10064007,1,2,1,1,,,1,1,1,2,2,2,26/03/2019,
3117479744,10045016,1,5,1,1,4,2,1,3,15,2,2,2,12/02/2018,
3117376579,10046672,1,6,1,1,9,2,1,1,3,2,2,2,02/04/2019,
3216169402,10047095,1,6,1,1,8,2,1,1,2,2,2,2,23/12/2017,
3316458996,10070693,1,6,1,1,4,1,1,3,8,2,2,2,30/03/2019,
3316002052,10043924,1,5,1,1,4,1,1,3,19,2,2,2,22/03/2018,
3316536798,10064601,1,6,1,1,4,1,1,3,12,2,2,2,09/06/2018,
3216812130,10044210,1,4,1,1,8,1,1,3,16,2,2,2,09/02/2018,
3117299713,10042027,1,3,1,1,9,1,2,3,13,2,2,2,02/05/2018,
3316054833,10055104,1,5,1,1,2,2,1,3,13,2,2,2,27/03/2018,
3316850226,10078613,1,5,1,1,4,1,1,1,1,2,2,2,03/04/2019,
3316085845,10042293,1,5,1,1,4,1,1,3,12,1,2,2,30/03/2019,
3316606135,10082774,1,5,1,1,4,2,1,3,14,2,2,2,20/04/2019,
3117046944,10057747,1,4,1,1,4,1,1,3,24,2,2,2,01/11/2018,
3117159418,10056558,1,5,1,1,5,1,1,3,13,2,2,2,15/03/2019,
3117912474,10049684,1,3,1,1,10,1,6,3,8,2,1,1,02/05/2018,
3117210658,10062877,1,6,1,1,4,1,1,3,16,2,2,2,23/02/2019,
3117814589,10046284,1,5,1,1,4,2,1,3,13,2,2,2,01/08/2018,
3117670272,10054675,1,6,1,1,4,1,1,3,13,2,2,2,23/12/2017,
3117436210,10063786,1,6,1,1,4,2,6,3,8,2,2,2,18/03/2019,
3117067707,10061432,1,6,1,1,4,1,1,3,15,2,2,2,11/04/2018,
3117291131,10053254,1,6,1,1,2,2,1,3,23,2,2,2,22/01/2019,
3117819201,10066461,1,4,1,1,5,2,1,3,12,2,2,2,04/07/2018,
3117256600,10070664,1,1,1,1,9,1,6,3,8,2,2,2,12/09/2018,
3117158658,10046780,1,5,1,1,1,2,1,3,23,1,2,1,31/12/2018,
3117379388,10048322,1,5,1,1,4,2,1,3,15,2,2,2,09/02/2018,
3117037970,10043678,1,4,1,1,5,2,1,3,8,2,2,2,10/02/2018,
3117676068,10052741,1,6,1,1,1,2,1,1,4,2,2,2,06/12/2018,
3117581745,10045599,1,3,1,1,9,1,2,1,2,2,2,2,02/05/2018,
3316703714,10047262,1,4,1,1,4,1,2,3,12,2,2,2,23/12/2017,
3117149670,10060441,1,,1,1,,2,6,3,15,2,,,15/02/2019,
3117157761,10047055,1,4,1,1,4,2,1,3,15,2,2,2,23/12/2017,
3117032224,10044656,1,3,1,1,5,1,1,3,8,2,2,2,24/04/2019,
